run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
43,9,4,batch_043,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,6,5,47.0,-1817.64,29697.36,31515.0,203,0.9966,0.349,34907.81,14000.0,20907.809999999998,True,57.22,0,0,44
43,9,4,batch_043,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,6,32.0,-4185.7,34191.36,38377.06,202,0.9925,0.366,52271.11,40000.0,12271.11,True,81.34,0,0,146
43,9,4,batch_043,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,8,17.0,-12509.82,34904.32,47414.14,274,0.9936,0.5794,0.0,15025.71,-15025.71,True,28.15,0,0,141
43,9,4,batch_043,Team 09,Low-Cost Volume,balanced_sop,Balanced S&OP,9,9,7.0,-13305.29,25342.0,38647.29,245,0.9766,0.5491,0.0,17320.79,-17320.79,True,42.37,0,4,498
44,9,4,batch_044,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,1,4,52.0,11219.88,39570.72,28350.84,170,0.9845,0.998,18219.88,46194.34,-27974.459999999995,True,45.56,0,1,348
44,9,4,batch_044,Team 05,Community / Club,cash_conservative,Cash conservative,2,2,75.0,2638.63,19043.4,16404.77,146,0.8417,0.3724,29412.8,0.0,29412.8,False,67.36,14,12,278
44,9,4,batch_044,Team 01,Premium Quality,premium_quality,Premium quality,3,1,77.5,-1489.94,23554.8,25044.74,123,0.9915,0.4509,10605.37,0.0,10605.37,False,84.86,0,0,307
44,9,4,batch_044,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4,3,59.5,-4617.1,20865.0,25482.1,125,0.9919,0.587,6319.46,4000.0,2319.46,True,74.58,0,0,363
44,9,4,batch_044,Team 07,Sponsorship Growth,premium_quality,Premium quality,5,5,52.0,-6770.07,28628.64,35398.71,184,0.9915,0.5249,0.0,8985.54,-8985.54,True,75.39,0,0,523
44,9,4,batch_044,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,6,6,42.0,-12366.25,18299.6,30665.85,125,0.9933,1.0979,0.0,15627.72,-15627.72,True,74.0,0,0,340
