round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes,run_id,team_count,market_scenario,market_label
3,Team 01,team_01_A,Elite Spin Pro,A,premium,growth,3,3,tour,209.52,85,87,87,0.005,86,256.68,256.68,86,169,0,0.3249,171.68,171.68,2.0197,0.6688,18018.72,4960.74,71.87,19.35,3818.43,90.0,442.57,108.61,6832.53,0,8,9,0,1.0,16.35,0.0,False,,False,0.0,Lost 169 sales units. Carried 9 backlog units.,1,4,batch_001,Batch market 001
3,Team 01,team_01_B,Control Tour,B,mid,maturity,4,2,tour,168.48,95,97,97,0.005,96,175.14,175.14,96,80,0,0.53,80.14,80.14,0.8436,0.4576,16174.08,5367.01,80.13,21.6,4257.33,50.0,493.43,69.26,4687.81,0,6,5,-1,0.881,0.0,16.35,False,,False,0.0,Lost 80 sales units. Carried 5 backlog units.,1,4,batch_001,Batch market 001
3,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.59,0.0,0,0,0,-2,0.761,0.0,0.0,False,,False,0.0,,1,4,batch_001,Batch market 001
3,Team 02,team_02_A,Momentum Edge,A,mid,growth,3,2,power,128.48,158,146,146,0.0338,141,244.97,244.97,141,97,0,0.5147,86.97,86.97,0.5504,0.355,18115.68,7253.28,69.96,214.49,5851.06,350.0,793.88,46.47,2975.28,0,29,35,-1,0.881,19.87,0.0,False,,False,0.0,Lost 97 sales units. Carried 35 backlog units.,1,4,batch_001,Batch market 001
3,Team 02,team_02_B,Rise Power,B,premium,maturity,4,3,power,156.64,112,104,104,0.0314,100,180.96,180.96,100,81,0,0.474,68.96,68.96,0.6158,0.3811,15664.0,5383.04,49.83,141.52,4167.88,290.0,565.5,72.55,4617.28,0,30,29,0,1.0,4.5,13.28,False,,False,0.0,Lost 81 sales units. Carried 29 backlog units.,1,4,batch_001,Batch market 001
3,Team 02,team_02_C,Court Wave,C,beginner,maturity,5,1,entry,91.52,145,134,134,0.0387,128,178.69,178.69,128,55,0,0.6315,33.69,33.69,0.2324,0.1886,11714.56,6570.02,64.21,223.02,5370.15,190.0,728.62,10.16,-1874.78,0,24,19,-2,0.931,0.0,11.09,False,,False,0.0,Lost 55 sales units. Carried 19 backlog units.,1,4,batch_001,Batch market 001
3,Team 03,team_03_A,Vector X,A,premium,maturity,4,3,engineered,184.0,90,90,90,0.005,89,198.65,198.65,89,111,0,0.4205,108.65,108.65,1.2072,0.5469,16376.0,4851.9,109.8,20.02,3597.37,110.0,388.8,93.08,6194.61,0,13,11,0,1.0,0.0,14.95,False,,False,0.0,Lost 111 sales units. Carried 11 backlog units.,1,4,batch_001,Batch market 001
3,Team 03,team_03_B,Axis Control,B,mid,growth,3,2,engineered,149.0,110,110,110,0.005,109,251.4,251.4,109,140,0,0.4154,141.4,141.4,1.2854,0.5624,16241.0,5706.8,134.2,24.53,4396.79,130.0,475.2,60.11,3976.98,0,11,13,-1,0.881,14.95,0.0,False,,False,0.0,Lost 140 sales units. Carried 13 backlog units.,1,4,batch_001,Batch market 001
3,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.81,0.0,0,0,0,-2,0.931,0.0,0.0,False,,False,0.0,,1,4,batch_001,Batch market 001
3,Team 04,team_04_A,Starter Pop,A,beginner,maturity,4,1,entry,93.45,144,141,141,0.0422,135,206.24,206.24,135,75,0,0.6158,62.24,62.24,0.4322,0.3018,12615.75,5297.37,30.79,256.67,3921.44,90.0,379.24,26.64,-365.6,0,13,9,-2,0.931,14.38,7.41,False,,False,0.0,Lost 75 sales units. Carried 9 backlog units.,1,4,batch_001,Batch market 001
3,Team 04,team_04_B,Club Value,B,beginner,maturity,6,1,entry,102.9,125,123,123,0.0403,118,171.17,171.17,118,51,0,0.6698,46.17,46.17,0.3694,0.2697,12142.2,4676.46,26.86,214.26,3420.83,70.0,330.83,35.64,908.2,0,5,7,-2,0.931,0.0,20.53,False,,False,0.0,Lost 51 sales units. Carried 7 backlog units.,1,4,batch_001,Batch market 001
3,Team 04,team_04_C,Flex Edge,C,mid,growth,3,2,hybrid,128.1,86,84,84,0.0433,80,240.1,240.1,80,158,0,0.31,154.1,154.1,1.7919,0.6418,10248.0,3312.12,18.34,155.96,2336.18,200.0,225.93,59.43,500.07,0,18,20,-1,0.881,13.56,0.0,False,,False,0.0,Lost 158 sales units. Carried 20 backlog units.,1,4,batch_001,Batch market 001
4,Team 01,team_01_A,Elite Spin Pro,A,premium,maturity,4,3,tour,209.52,85,87,87,0.005,86,231.07,231.07,86,145,0,0.3582,146.07,146.07,1.7185,0.6321,18018.72,5062.53,71.87,19.35,3910.65,90.0,442.57,106.38,6771.2,0,9,9,-1,0.867,10.2,0.0,False,,False,0.0,Lost 145 sales units. Carried 9 backlog units.,1,4,batch_001,Batch market 001
