run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
73,7,4,batch_073,Batch market 073,1.362,-0.0318,-0.0379,-0.0236,0.0905,0.2147,Moderate,0.2316,0.1269,0,-0.0616,Team 05,Cash conservative,7282.05,Team 01,Premium quality,70.0,Team 06,Team 03,Team 05,1939.86,3
74,4,4,batch_074,Batch market 074,0.723,-0.0542,0.0712,-0.0435,-0.0369,0.2,High,-0.0489,-0.021,0,0.3261,Team 01,Premium quality,6334.7,Team 01,Premium quality,73.3,Team 02,Team 03,Team 01,1864.91,2
75,9,4,batch_075,Batch market 075,1.6936,0.091,0.0996,-0.085,-0.1148,0.1348,High,-0.0341,0.2585,1,0.0189,Team 07,Premium quality,8857.57,Team 07,Premium quality,70.0,Team 02,Team 08,Team 01,3598.26,5
76,4,4,batch_076,Batch market 076,1.7046,0.0714,0.1387,-0.0612,0.0688,0.0545,Moderate,0.0209,0.2372,1,0.1562,Team 01,Premium quality,9875.48,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,4581.45,1
77,4,4,batch_077,Batch market 077,1.5956,-0.0349,0.053,0.079,0.0384,0.2232,Moderate,0.1436,0.1213,0,0.0453,Team 01,Premium quality,7111.03,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,3142.49,1
78,6,4,batch_078,Batch market 078,1.4138,0.0643,-0.0207,0.0337,0.1364,0.0473,Moderate,-0.1411,0.0148,0,0.0223,Team 01,Premium quality,10006.12,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,7035.02,2
79,8,4,batch_079,Batch market 079,1.3451,0.0103,-0.0766,0.0528,-0.1397,0.2027,Low,0.043,-0.0289,1,0.268,Team 05,Cash conservative,8337.92,Team 07,Premium quality,71.4,Team 06,Team 03,Team 05,995.73,5
80,7,4,batch_080,Batch market 080,1.6809,-0.0222,-0.0549,0.0021,-0.0766,0.0705,Low,0.2796,0.0475,0,0.3062,Team 01,Premium quality,9628.05,Team 07,Premium quality,73.3,Team 02,Team 06,Team 07,6501.91,2
81,9,4,batch_081,Batch market 081,0.7172,-0.0533,0.0536,-0.0637,-0.0118,0.0912,High,-0.0972,0.2426,0,0.1788,Team 04,Innovation leap,5922.02,Team 05,Cash conservative,75.0,Team 02,Team 05,Team 05,-14955.9,8
82,6,4,batch_082,Batch market 082,1.7085,-0.0546,-0.0966,0.0854,-0.0317,0.1329,Low,-0.159,0.0452,0,0.0052,Team 01,Premium quality,8592.13,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,5062.87,2
83,6,4,batch_083,Batch market 083,0.7717,-0.0199,-0.0848,-0.0932,0.1172,0.0079,Moderate,0.1644,0.0166,0,0.2981,Team 04,Innovation leap,8849.45,Team 01,Premium quality,80.0,Team 01,Team 01,Team 05,-1918.13,4
84,8,4,batch_084,Batch market 084,0.8636,0.0977,-0.0233,0.0706,-0.1328,0.089,Moderate,0.1565,0.2245,0,0.336,Team 04,Innovation leap,8070.85,Team 01,Premium quality,74.3,Team 06,Team 01,Team 05,-1559.25,5
